neuron,concept,AUC,U1,p,MAD
350,furniture,0.7555356666666666,366696.5,1.2536457291608223e-06,1.4669334943758296
19,motif,0.6611906666666667,508214.0,0.002232483248567242,0.6517612330473408
49,physicians,0.9391686666666668,91247.0,8.080667168491835e-17,4.814088036981654
410,silicone,0.8792359999999999,181146.0,6.326158460240091e-13,1.9652996086895538
85,swimwear,0.359345,960982.5,0.007632511412735346,-0.158792160524091
34,hostel,0.9214326666666667,117851.0,1.30749007811883e-15,3.0199630883982884
309,stripe,0.7465733333333333,380140.0,2.9115295212131277e-06,1.248022894901553
176,drawers,0.9771826666666665,34226.0,1.4154391515592237e-19,5.350295005458303
167,bridges,0.9847446666666666,22883.0,3.7663343485457587e-20,4.175201925316924
470,kiosk,0.9573986666666666,63902.0,2.6690970133507014e-18,3.511071263296722
468,organ,0.853928,219108.0,1.90348329660268e-11,1.8208483798780528
447,alps,0.999214,1179.0,2.8259381609764744e-21,5.3815247449712205
403,carnival,0.7235446666666667,414683.0,2.2337059840458238e-05,0.7710161059348096
406,baseball,0.8959306666666668,156104.0,5.914634125334541e-14,1.9847168742488754
442,racing,0.9251353333333334,112297.0,7.391602836113837e-16,2.932952850300142
281,orange,0.7225739999999999,416139.0,2.4243242524536496e-05,0.6255815378769221
212,cooking,0.6194519999999999,570822.0,0.023467676380890475,0.1989508530481423
237,bedroom,0.9535806666666666,69629.0,7.737509553052492e-18,2.3292018784256934
424,tent,0.9966113333333333,5083.0,4.527089298796277e-21,6.6376423123262205
219,scoreboard,0.8769766666666667,184535.0,8.651666827173468e-13,2.1849843044989736
290,courtyard,0.9990946666666667,1358.0,2.886438281237982e-21,9.488104513793834
224,arch,0.9897180000000001,15423.0,1.5594397376310524e-20,4.680999258237289
425,coral,0.9991446666666668,1283.0,2.8617350714076668e-21,6.851430350580379
265,bookshelf,0.999256,1116.0,2.8044003204836076e-21,6.336416470924764
164,temple,0.9569833333333333,64525.0,4.3984833868641394e-18,3.736056303119196
286,jacuzzi,0.997146,4281.0,4.110540527156243e-21,5.648480644280761
280,cafeteria,0.995592,6612.0,5.441908732680343e-21,4.542362109844687
414,fruits,0.9165286666666665,125207.0,2.7751769755978434e-15,3.2949749007937346
225,fruits,0.9894433333333333,15835.0,1.6376829014952896e-20,4.511552151830809
72,furnished,0.996494,5259.0,4.623917854858622e-21,5.833771623837885
