neuron,concept,AUC,U1,p,MAD
350,personal computer,0.897464,153804.0,4.734248576453217e-14,1.4953122981444948
19,antelope,0.8193993333333334,270901.0,1.375743486735757e-09,1.1708195577783438
49,coat,0.5578086666666666,663287.0,0.2728616560528171,-0.021635733875133917
410,baby bed,0.9280906666666666,107864.0,4.664660973952499e-16,2.180424974022368
85,swimsuit,0.46352800000000016,804708.0,0.48907115443824234,0.43666113107077487
34,gymnastic apparatus,0.92818,107730.0,4.59041539191197e-16,3.317139869248044
309,blind,0.7371473333333333,394279.0,6.853986779822177e-06,0.7315531271885913
176,bus,0.966948,49578.0,8.222282610760279e-19,3.1051172393402404
167,bridge,0.9497046666666666,75443.0,1.4647476147488924e-17,3.8661505377912744
470,bus,0.8555816666666667,216627.5,1.1804670076461041e-11,1.638667816118804
468,place of worship,0.9907779999999999,13833.0,1.2905488005742858e-20,4.760191463071532
447,grouse,0.8702146666666666,194678.0,2.1848515784722817e-12,1.4836739117266045
403,aircraft,0.9514619999999999,72807.0,1.09733414587333e-17,2.3724951216747847
406,cap,0.7607523333333334,358871.5,7.578818812207636e-07,1.9177871148866181
442,boat,0.89025,164625.0,1.3397385600937555e-13,1.6487254001241411
281,toiletry,0.6420373333333333,536944.0,0.007057288722784924,0.3922766213527296
212,personal computer,0.7658446666666666,351233.0,4.5953888153431544e-07,0.8387949200182009
237,white goods,0.8981106666666667,152834.0,4.31013065400093e-14,1.5557079124308506
424,gymnastic apparatus,0.8463013333333333,230548.0,5.080014748734727e-11,1.244097532468805
219,brass,0.296416,1055376.0,0.00011267666636972301,-0.5944756748480429
290,place of worship,0.9731433333333334,40285.0,2.8458147645924123e-19,3.7653756427882166
224,baby bed,0.738382,392427.0,6.1381387540334336e-06,0.6504828542398176
425,spiny-finned fish,0.9312513333333333,103123.0,2.8413362648308915e-16,2.248327784880101
265,personal computer,0.8045806666666666,293129.0,7.59465770726578e-09,0.9771197227878998
164,memorial,0.8271153333333334,259327.0,5.481328692753206e-10,1.6422334791003137
286,great ape,0.8032163333333333,295175.5,8.854057624090838e-09,1.143051671850115
280,starches,0.33761800000000003,993573.0,0.0020698590076150642,-0.5607340362167845
414,cruciferous vegetable,0.9987133333333333,1930.0,3.094721964712158e-21,8.564900768467297
225,edible fruit,0.9885046666666667,17243.0,1.935356269541882e-20,4.160325414495537
72,dish,0.96577,51345.0,1.0042677415357943e-18,2.9868851010678
