neuron,concept,AUC,U1,p,MAD
350,china cabinet,0.9777226666666666,33416.0,1.2880761023291617e-19,3.4638702269018067
19,necklace,0.9823326666666666,26501.0,5.758176396193386e-20,3.770965805755106
49,lab coat,0.8096,285600.0,4.294760209278431e-09,1.5245443292964105
410,hoopskirt,0.950646,123385.0,2.651805684270146e-28,2.72964782059833
85,swimwear alternative,0.6176333333333335,573550.0,0.02566536498806872,1.203848709595641
34,four-poster,0.9906473333333332,14029.0,1.3176956297471e-20,4.734317328855738
309,barn,0.9970619999999999,4407.0,4.171848729329794e-21,7.609451888198089
176,computer keyboard,0.9802773333333333,29584.0,8.253983189745018e-20,4.136677292343458
167,steel arch bridge,0.9745973333333333,38104.0,2.215242299244295e-19,4.372931681611519
470,covered structure,0.6768523333333334,484721.5,0.0007424417405778511,1.462484077183754
468,organ,0.853928,219108.0,1.90348329660268e-11,1.8208483798780528
447,grassland,0.9906539999999999,14019.0,1.319722621071214e-20,3.7403768885532935
403,carousel,0.9996166666666666,575.0,2.626144053557473e-21,9.923602978943466
406,ballplayer,0.987706,18441.0,2.2294115408348765e-20,5.908494929506475
442,racing car,0.9302208,174448.0,6.096699695615233e-26,2.5426945250870006
281,orange glow,0.8178072000000001,455482.0,7.21321235493654e-15,1.8932479018541057
212,workspace,0.9205986666666667,119102.0,1.489400186780494e-15,1.9210438305988757
237,sliding door,0.9944999999999999,8250.0,6.624245639105983e-21,4.999991775719382
424,frame tent,0.9977506666666667,3374.0,3.684145760851679e-21,6.660896738230354
219,scoreboard,0.8769766666666667,184535.0,8.651666827173468e-13,2.1849843044989736
290,palace,0.98062,29070.0,7.770430601776442e-20,4.536409697667674
224,triumphal arch,0.998116,2826.0,3.448541048901227e-21,6.451152806727704
425,coral reef,0.9973333333333334,4000.0,3.9736161656329256e-21,5.626461494175627
265,bookshelf,0.999256,1116.0,2.8044003204836076e-21,6.336416470924764
164,stupa,0.9965826666666666,5126.0,4.549910479476349e-21,6.3762524655100465
286,bathware,0.9392156666666667,91176.5,8.020081704141497e-17,2.4880849111147887
280,espresso,0.9631933333333333,55210.0,1.5532890532987993e-18,3.235056891277403
414,green veggie alternative,0.996758,4863.0,4.4091932440431246e-21,8.523097995612918
225,granny smith apple variant,0.9797006666666667,30449.0,9.128971977302085e-20,3.2357636492866457
72,culinary,0.8614706666666667,207794.0,7.066538259235429e-12,2.4093867893392638
