layer,unit,description,similarity
avgpool,0,lamb,0.12286377
avgpool,1,courthouse,0.3039856
avgpool,2,crt,0.28811646
avgpool,3,shower,0.38571167
avgpool,4,porch,0.22702026
avgpool,5,female,0.34265137
avgpool,6,forests,0.43023682
avgpool,7,mosque,0.33810425
avgpool,8,textile,0.22546387
avgpool,9,lobby,0.38690186
avgpool,10,sediment,0.29144287
avgpool,11,columns,0.19885254
avgpool,12,balcony,0.3408203
avgpool,13,phonephone,0.45437622
avgpool,14,green,0.19070435
avgpool,15,bedrooms,0.6524048
avgpool,16,runway,0.09539795
avgpool,17,street,0.3067932
avgpool,18,accessory,0.24456787
avgpool,19,motif,0.13977051
avgpool,20,workspace,0.24243164
avgpool,21,boxing,0.30969238
avgpool,22,weaving,0.20370483
avgpool,23,deployment,0.31793213
avgpool,24,giclee,0.12609863
avgpool,25,sail,0.2611084
avgpool,26,roof,0.19070435
avgpool,27,uniforms,0.19824219
avgpool,28,wildlife,0.29281616
avgpool,29,mosque,0.3869934
avgpool,30,stair,0.583313
avgpool,31,gasoline,0.32107544
avgpool,32,trekking,0.29125977
avgpool,33,deployment,0.29779053
avgpool,34,hostel,0.43222046
avgpool,35,dotted,0.19500732
avgpool,36,habitat,0.25976562
avgpool,37,buildings,0.2994995
avgpool,38,wetland,0.30621338
avgpool,39,cabbage,0.19873047
avgpool,40,crypt,0.17837524
avgpool,41,courtroom,0.4121399
avgpool,42,auditorium,0.4694214
avgpool,43,racing,0.54422
avgpool,44,juvenile,0.24398804
avgpool,45,workstations,0.32833862
avgpool,46,cellar,0.23651123
avgpool,47,macro,0.2592163
avgpool,48,espresso,0.16064453
avgpool,49,physicians,0.2524109
avgpool,50,textile,0.1663208
avgpool,51,ferries,0.40298462
avgpool,52,intersection,0.27938843
avgpool,53,textile,0.4293213
avgpool,54,kayaking,0.35580444
avgpool,55,swimming,0.36053467
avgpool,56,pinball,0.26535034
avgpool,57,tent,0.120147705
avgpool,58,lcd,0.30722046
avgpool,59,bookstore,0.23040771
avgpool,60,cathedral,0.5713806
avgpool,61,blue,0.17764282
avgpool,62,sofas,0.6112366
avgpool,63,stair,0.32043457
avgpool,64,airport,0.2609253
avgpool,65,checker,0.18096924
avgpool,66,upstairs,0.20391846
avgpool,67,mosque,0.5878601
avgpool,68,mesh,0.33447266
avgpool,69,kayaking,0.30670166
avgpool,70,gasoline,0.30303955
avgpool,71,ordered,0.25497437
avgpool,72,furnished,0.3323059
avgpool,73,shoes,0.3625183
avgpool,74,stairs,0.22235107
avgpool,75,classrooms,0.3557434
avgpool,76,door,0.1434021
avgpool,77,beds,0.15988159
avgpool,78,bookshop,0.7285156
avgpool,79,hockey,0.5715332
avgpool,80,patterns,0.10119629
avgpool,81,hall,0.2748413
avgpool,82,helix,0.14376831
avgpool,83,instruments,0.16921997
avgpool,84,kayaking,0.16390991
avgpool,85,swimwear,0.3363037
avgpool,86,erosion,0.16381836
avgpool,87,purchasing,0.117492676
avgpool,88,automotive,0.2782898
avgpool,89,dotted,0.2038269
avgpool,90,dishwasher,0.23919678
avgpool,91,collier,0.25247192
avgpool,92,kitchen,0.372406
avgpool,93,spiral,0.2848816
avgpool,94,spruce,0.28912354
avgpool,95,snowy,0.34381104
avgpool,96,highways,0.33135986
avgpool,97,listings,0.458313
avgpool,98,porch,0.3703308
avgpool,99,kitchens,0.6084595
avgpool,100,red,0.2390747
avgpool,101,bridge,0.21356201
avgpool,102,dorm,0.36486816
avgpool,103,nursery,0.32788086
avgpool,104,courthouse,0.3638916
avgpool,105,grooming,0.16149902
avgpool,106,train,0.26263428
avgpool,107,garrison,0.15753174
avgpool,108,kitchen,0.29644775
avgpool,109,mating,0.29193115
avgpool,110,noir,0.16931152
avgpool,111,attractions,0.15600586
avgpool,112,observatory,0.45706177
avgpool,113,snowy,0.17965698
avgpool,114,collier,0.15060425
avgpool,115,sinks,0.23138428
avgpool,116,female,0.33358765
avgpool,117,harbour,0.46463013
avgpool,118,produce,0.37023926
avgpool,119,kiosk,0.23983765
avgpool,120,hoodia,0.24276733
avgpool,121,juvenile,0.108062744
avgpool,122,grid,0.23101807
avgpool,123,sailing,0.2441101
avgpool,124,sailing,0.5661316
avgpool,125,homestead,0.4621582
avgpool,126,juvenile,0.366333
avgpool,127,campus,0.23648071
avgpool,128,classrooms,0.6739197
avgpool,129,pumps,0.17666626
avgpool,130,stormwater,0.15020752
avgpool,131,performer,0.1378479
avgpool,132,diecast,0.22543335
avgpool,133,cavalry,0.24438477
avgpool,134,skiing,0.174469
avgpool,135,pyramid,0.19891357
avgpool,136,ordered,0.1968689
avgpool,137,stadium,0.2739563
avgpool,138,nursery,0.24157715
avgpool,139,juvenile,0.25784302
avgpool,140,baseball,0.59628296
avgpool,141,girl,0.114349365
avgpool,142,entrance,0.24920654
avgpool,143,attendees,0.089782715
avgpool,144,hostels,0.12930298
avgpool,145,upstairs,0.33966064
avgpool,146,tower,0.20645142
avgpool,147,grille,0.19683838
avgpool,148,kiosk,0.20880127
avgpool,149,trains,0.18572998
avgpool,150,fruit,0.5262451
avgpool,151,bowl,0.20727539
avgpool,152,restaurant,0.3136902
avgpool,153,dams,0.23770142
avgpool,154,mating,0.4432068
avgpool,155,landmarks,0.14660645
avgpool,156,cheyenne,0.21466064
avgpool,157,habit,0.27590942
avgpool,158,airfares,0.4623108
avgpool,159,presenters,0.18536377
avgpool,160,stairs,0.38534546
avgpool,161,motor,0.31970215
avgpool,162,attic,0.7661743
avgpool,163,morocco,0.23931885
avgpool,164,temple,0.26391602
avgpool,165,sofas,0.13446045
avgpool,166,villa,0.23260498
avgpool,167,bridges,0.4128723
avgpool,168,collier,0.65356445
avgpool,169,organ,0.22113037
avgpool,170,habitat,0.23370361
avgpool,171,drums,0.12231445
avgpool,172,rides,0.41732788
avgpool,173,sailing,0.3695984
avgpool,174,tower,0.20562744
avgpool,175,boats,0.47817993
