layer,unit,description,similarity
heads,0,carp,0.565155
heads,1,fishes,0.5063782
heads,2,shark,0.657959
heads,3,shark,0.6886902
heads,4,shark,0.6959839
heads,5,ray,0.526947
heads,6,ray,0.5879822
heads,7,hen,0.65982056
heads,8,hen,0.6527405
heads,9,emu,0.84820557
heads,10,sparrow,0.6104126
heads,11,finch,0.60336304
heads,12,sparrow,0.6405029
heads,13,sparrow,0.63098145
heads,14,birding,0.5022888
heads,15,robin,0.6130676
heads,16,bird,0.52575684
heads,17,jay,0.52041626
heads,18,birding,0.4703369
heads,19,bird,0.50283813
heads,20,juvenile,0.43795776
heads,21,hawk,0.6888733
heads,22,eagle,0.7086487
heads,23,crow,0.40551758
heads,24,owl,0.6458435
heads,25,specimen,0.5159607
heads,26,juvenile,0.50057983
heads,27,lizard,0.45272827
heads,28,specimen,0.46136475
heads,29,aquarium,0.34088135
heads,30,frog,0.65219116
heads,31,frog,0.61209106
heads,32,frog,0.603302
heads,33,turtle,0.63009644
heads,34,turtle,0.5343933
heads,35,turtle,0.7154236
heads,36,turtle,0.68081665
heads,37,turtle,0.6869812
heads,38,lizard,0.5310974
heads,39,reptiles,0.57977295
heads,40,lizard,0.66726685
heads,41,lizard,0.71698
heads,42,lizard,0.6633301
heads,43,lizard,0.5706787
heads,44,lizard,0.64697266
heads,45,reptiles,0.52023315
heads,46,lizard,0.71240234
heads,47,lizard,0.50268555
heads,48,reptiles,0.54870605
heads,49,crocodile,0.726593
heads,50,crocodile,0.7065735
heads,51,dinosaur,0.45855713
heads,52,snake,0.5145874
heads,53,snake,0.5831909
heads,54,python,0.52853394
heads,55,python,0.57940674
heads,56,snake,0.5760193
heads,57,snake,0.5734558
heads,58,snake,0.4827881
heads,59,reptiles,0.46331787
heads,60,snake,0.5543823
heads,61,python,0.618927
heads,62,python,0.62957764
heads,63,cobra,0.58114624
heads,64,snake,0.54452515
heads,65,snake,0.42803955
heads,66,head,0.4915161
heads,67,python,0.578125
heads,68,juvenile,0.5168762
heads,69,fossil,0.8093872
heads,70,spider,0.5496521
heads,71,scorpio,0.48651123
heads,72,web,0.7546387
heads,73,spider,0.6650696
heads,74,spider,0.77731323
heads,75,spider,0.6215515
heads,76,spider,0.5486145
heads,77,spider,0.648407
heads,78,lyme,0.6326904
heads,79,larvae,0.5710144
heads,80,peck,0.42749023
heads,81,gull,0.44140625
heads,82,juvenile,0.57736206
heads,83,birding,0.41690063
heads,84,peacock,0.7207031
heads,85,juvenile,0.46899414
heads,86,peck,0.49993896
heads,87,parrot,0.5815735
heads,88,parrot,0.65356445
heads,89,parrot,0.50668335
heads,90,parrot,0.6311035
heads,91,bird,0.49975586
heads,92,hummer,0.50253296
heads,93,bird,0.43182373
heads,94,hummer,0.61309814
heads,95,hummer,0.52786255
heads,96,parrot,0.47827148
heads,97,ducks,0.62353516
heads,98,ducks,0.48550415
heads,99,goose,0.58569336
heads,100,swan,0.56481934
heads,101,elephant,0.78344727
heads,102,habit,0.4508667
heads,103,otter,0.5404358
heads,104,kangaroo,0.6737366
heads,105,kangaroo,0.40933228
heads,106,mole,0.34887695
heads,107,aquarium,0.42712402
heads,108,coral,0.45083618
heads,109,coral,0.5769348
heads,110,slug,0.52526855
heads,111,arabidopsis,0.5282898
heads,112,shell,0.5952759
heads,113,slug,0.51153564
heads,114,slug,0.94662476
heads,115,slug,0.4375
heads,116,larvae,0.48544312
heads,117,shell,0.54525757
heads,118,crab,0.70147705
heads,119,crab,0.776886
heads,120,crab,0.7871704
heads,121,crab,0.7189331
heads,122,lobster,0.723114
heads,123,lobster,0.72439575
heads,124,lobster,0.62557983
heads,125,crab,0.60617065
heads,126,larvae,0.46792603
heads,127,ibis,0.74887085
heads,128,ibis,0.6392822
heads,129,ibis,0.6437988
heads,130,flamingo,0.8434448
heads,131,crane,0.5595093
heads,132,crane,0.5158081
heads,133,birding,0.46896362
heads,134,crane,0.6359863
heads,135,ibis,0.51434326
heads,136,ibis,0.48703003
heads,137,ducks,0.4833374
heads,138,crane,0.47088623
heads,139,juvenile,0.5210571
heads,140,juvenile,0.56570435
heads,141,juvenile,0.4935608
heads,142,juvenile,0.48526
heads,143,gentoo,0.5213318
heads,144,pelican,0.845459
heads,145,penguins,0.6957092
heads,146,gull,0.51379395
heads,147,whales,0.7020569
heads,148,whales,0.55667114
heads,149,underwater,0.48025513
heads,150,seals,0.64276123
heads,151,basename,0.3998413
heads,152,puppy,0.3670044
heads,153,maltese,0.6532898
heads,154,puppy,0.36013794
heads,155,maltese,0.47262573
heads,156,cavalier,0.4251709
heads,157,puppy,0.34173584
heads,158,basename,0.5475464
heads,159,bloodhound,0.558197
heads,160,bloodhound,0.34597778
heads,161,bloodhound,0.5142212
heads,162,hound,0.4347229
heads,163,bloodhound,0.6594238
heads,164,hound,0.40356445
heads,165,bloodhound,0.5180054
heads,166,hound,0.4942932
heads,167,hound,0.5359497
heads,168,bloodhound,0.4866333
heads,169,greyhound,0.4032898
heads,170,terrier,0.4293518
heads,171,greyhound,0.49716187
heads,172,greyhound,0.6525574
heads,173,basename,0.6764221
heads,174,husky,0.35290527
heads,175,terrier,0.43414307
heads,176,greyhound,0.5046997
heads,177,greyhound,0.4149475
